Date;FCI_house_BE;FCI_corpo_BE;FCI_gov_BE;FCI_total_BE;FCI_house_FR;FCI_corpo_FR;FCI_gov_FR;FCI_total_FR;FCI_house_GE;FCI_corpo_GE;FCI_gov_GE;FCI_total_GE;FCI_house_IT;FCI_corpo_IT;FCI_gov_IT;FCI_total_IT;FCI_house_LU;FCI_corpo_LU;FCI_gov_LU;FCI_total_LU;FCI_house_NT;FCI_corpo_NT;FCI_gov_NT;FCI_total_NT;FCI_house_SP;FCI_corpo_SP;FCI_gov_SP;FCI_total_SP;FCI_house_EU;FCI_corpo_EU;FCI_gov_EU;FCI_total_EU
31/12/2012;-0.104599997;-0.752099991;-0.564599991;-0.726999998;1.011899948;0.120800003;-0.88349998;0.161400005;0.594399989;-0.230700001;-0.554400027;-0.154200003;1.187700033;0.828000009;-0.657199979;0.874300003;-0.338099986;-0.202399999;-0.534200013;-0.2016;0.293199986;-0.251899987;-0.728999972;-0.191799998;1.533100009;2.752300024;-3.378200054;4.080800056;-0.189099997;-0.31099999;-0.359600008;-0.316599995
31/03/2013;0.0078;-0.608799994;-0.464899987;-0.57980001;0.460399985;-0.209000006;-0.584699988;-0.179800004;0.348800004;-0.533500016;-0.244000003;-0.4639;0.8046;0.348800004;-0.637199998;0.392699987;-0.424199998;-0.414000005;-0.46329999;-0.40959999;0.232800007;-0.337000012;-0.745400012;-0.276300013;1.386000037;2.506400108;-3.305500031;3.855200052;-0.151500002;-0.4296;-0.300399989;-0.423400015
30/06/2013;0.157499999;-0.398900002;-0.257299989;-0.367399991;0.211199999;-0.368499994;-0.360900015;-0.343199998;0.258100003;-0.720200002;0.071099997;-0.650200009;0.420100003;0.0526;-0.444499999;0.0836;-0.344999999;-0.587400019;-0.470699996;-0.579400003;0.217999995;-0.352800012;-0.584900022;-0.290600002;1.063300014;1.4648;-2.964600086;2.813499928;0.0149;-0.446399987;-0.201700002;-0.418799996
30/09/2013;0.341600001;-0.109499998;-0.1479;-0.080200002;0.238900006;-0.262499988;-0.170100003;-0.240400001;0.313600004;-0.490500003;0.314900011;-0.42899999;0.362899989;0.0999;-0.214000002;0.124700002;-0.0052;-0.475300014;-0.260600001;-0.461800009;0.3477;-0.110100001;-0.306400001;-0.046399999;0.94690001;0.868099988;-2.58310008;2.115600109;0.231000006;-0.165800005;0.075800002;-0.128600001
31/12/2013;0.591799974;0.127599999;-0.224800006;0.160300002;0.300000012;-0.226899996;-0.101199999;-0.204699993;0.412600011;-0.465499997;0.381999999;-0.396800011;0.471100003;0.0502;-0.315400004;0.0867;0.331499994;-0.119999997;0.0211;-0.104599997;0.4912;0.084100001;-0.135900006;0.153200001;0.921599984;0.1699;-1.981299996;1.315600038;0.454400003;0.113600001;0.309799999;0.159299999
31/03/2014;0.737999976;0.266499996;-0.48210001;0.301800013;0.383599997;-0.201100007;-0.251700014;-0.177200004;0.425300002;-0.511300027;0.259900004;-0.442400008;0.568700016;-0.135100007;-0.635599971;-0.080399998;0.565599978;0.171299994;0.419;0.188600004;0.719699979;0.1228;-0.235799998;0.201100007;0.924899995;-0.203099996;-1.89260006;0.841700017;0.643899977;0.269699991;0.329899997;0.321099997
30/06/2014;0.627399981;0.152999997;-0.629000008;0.188099995;0.247400001;-0.299499989;-0.353700012;-0.2773;0.296299994;-0.634500027;0.0416;-0.574899971;0.351799995;-0.512099981;-0.849600017;-0.453700006;0.490399987;0.086400002;0.463499993;0.107000001;0.807399988;-0.07;-0.431300014;0.0196;0.715699971;-0.568599999;-1.797600031;0.332300007;0.689199984;0.148100004;0.173899993;0.207399994
30/09/2014;0.327800006;-0.189799994;-0.688000023;-0.157000005;0.089900002;-0.316599995;-0.470899999;-0.300199986;0.183500007;-0.64319998;-0.255600005;-0.596300006;0.0594;-0.649699986;-0.847500026;-0.607299984;0.237499997;-0.338200003;0.614099979;-0.312700003;0.673399985;-0.286199987;-0.528299987;-0.206100002;0.49849999;-0.564199984;-1.61559999;0.231000006;0.581099987;-0.046700001;-0.0306;0.0088
31/12/2014;-0.0155;-0.513300002;-0.712899983;-0.485399991;0.063600004;-0.274399996;-0.567499995;-0.260500014;0.135299996;-0.690500021;-0.411900014;-0.645600021;-0.2509;-0.592599988;-0.704599977;-0.578599989;0.079300001;-0.433499992;0.037099998;-0.40959999;0.507099986;-0.460799992;-0.65079999;-0.388300002;0.272000015;-0.1461;-1.330899954;0.608500004;0.402200013;-0.193700001;-0.249200001;-0.147499993
31/03/2015;-0.376599997;-0.794799984;-0.710799992;-0.775300026;0.147799999;-0.199399993;-0.753499985;-0.184400007;0.037799999;-0.618200004;-0.519500017;-0.586600006;-0.38530001;-0.587400019;-0.613600016;-0.582199991;0.0427;-0.600700021;-0.253899992;-0.573800027;0.346500009;-0.6426;-0.718999982;-0.576300025;0.079499997;0.056200001;-1.04550004;0.680299997;0.304100007;-0.413399994;-0.589900017;-0.354799986
30/06/2015;-0.5898;-0.928600013;-0.466199994;-0.915600002;0.221300006;-0.170599997;-0.719600022;-0.153200001;-0.058400001;-0.497200012;-0.413100004;-0.480300009;-0.472799987;-0.395700008;-0.247999996;-0.407000005;0.041900001;-0.533399999;-0.116599999;-0.50849998;0.171499997;-0.655099988;-0.539699972;-0.593599975;-0.0823;0.145400003;-0.688600004;0.590600014;0.205899999;-0.459300011;-0.605700016;-0.394199997
30/09/2015;-0.521300018;-0.778699994;-0.252799988;-0.769400001;0.1972;-0.147599995;-0.533800006;-0.132100001;-0.097999997;-0.208800003;-0.29460001;-0.211400002;-0.342000008;-0.162400007;-0.023499999;-0.178499997;0.139899999;-0.235100001;-0.040399998;-0.214599997;0.0113;-0.449099988;-0.276600003;-0.395300001;-0.0129;0.417299986;-0.359600008;0.807299972;0.196099997;-0.307999998;-0.460900009;-0.243100002
31/12/2015;-0.256399989;-0.521300018;-0.112599999;-0.50819999;0.218799993;-0.171000004;-0.4102;-0.154799998;-0.0539;-0.231999993;-0.2773;-0.230800003;-0.100400001;0.0059;-0.084700003;-0.0032;0.286599994;0.039000001;0.0055;0.0561;0.110799998;-0.228200004;-0.229599997;-0.170100003;0.167199999;0.256900012;-0.37560001;0.621800005;0.3028;-0.062199999;-0.259900004;-0.0055
31/03/2016;-0.200599998;-0.385100007;-0.228499994;-0.37470001;0.165700004;-0.103699997;-0.528500021;-0.092699997;-0.117399998;-0.162699997;-0.526499987;-0.175099999;0.0491;0.076099999;-0.310200006;0.073899999;0.343400002;0.221399993;0.0021;0.235499993;0.049800001;-0.202500001;-0.367500007;-0.155599996;0.25150001;0.482800007;-0.54400003;0.842999995;0.324400008;0.058499999;-0.37560001;0.109200001
