Date,Austria_GDP_LD,Belgium_GDP_LD,Bulgaria_GDP_LD,Croatia_GDP_LD,Cyprus_GDP_LD,Czechia_GDP_LD,Denmark_GDP_LD,Estonia_GDP_LD,Finland_GDP_LD,France_GDP_LD,Germany_GDP_LD,Greece_GDP_LD,Hungary_GDP_LD,Ireland_GDP_LD,Italy_GDP_LD,Latvia_GDP_LD,Lithuania_GDP_LD,Luxembourg_GDP_LD,Malta_GDP_LD,Netherlands_GDP_LD,Poland_GDP_LD,Portugal_GDP_LD,Romania_GDP_LD,Slovakia_GDP_LD,Slovenia_GDP_LD,Spain_GDP_LD,Sweden_GDP_LD,Austria_GDPGROWTH,Belgium_GDPGROWTH,Bulgaria_GDPGROWTH,Croatia_GDPGROWTH,Cyprus_GDPGROWTH,Czechia_GDPGROWTH,Denmark_GDPGROWTH,Estonia_GDPGROWTH,Finland_GDPGROWTH,France_GDPGROWTH,Germany_GDPGROWTH,Greece_GDPGROWTH,Hungary_GDPGROWTH,Ireland_GDPGROWTH,Italy_GDPGROWTH,Latvia_GDPGROWTH,Lithuania_GDPGROWTH,Luxembourg_GDPGROWTH,Malta_GDPGROWTH,Netherlands_GDPGROWTH,Poland_GDPGROWTH,Portugal_GDPGROWTH,Romania_GDPGROWTH,Slovakia_GDPGROWTH,Slovenia_GDPGROWTH,Spain_GDPGROWTH,Sweden_GDPGROWTH,Austria_HCPI_LD,Belgium_HCPI_LD,Bulgaria_HCPI_LD,Croatia_HCPI_LD,Cyprus_HCPI_LD,Czechia_HCPI_LD,Denmark_HCPI_LD,Estonia_HCPI_LD,Finland_HCPI_LD,France_HCPI_LD,Germany_HCPI_LD,Greece_HCPI_LD,Hungary_HCPI_LD,Ireland_HCPI_LD,Italy_HCPI_LD,Latvia_HCPI_LD,Lithuania_HCPI_LD,Luxembourg_HCPI_LD,Malta_HCPI_LD,Netherlands_HCPI_LD,Poland_HCPI_LD,Portugal_HCPI_LD,Romania_HCPI_LD,Slovakia_HCPI_LD,Slovenia_HCPI_LD,Spain_HCPI_LD,Sweden_HCPI_LD,Austria_UNEMP_D,Belgium_UNEMP_D,Bulgaria_UNEMP_D,Croatia_UNEMP_D,Cyprus_UNEMP_D,Czechia_UNEMP_D,Denmark_UNEMP_D,Estonia_UNEMP_D,Finland_UNEMP_D,France_UNEMP_D,Germany_UNEMP_D,Greece_UNEMP_D,Hungary_UNEMP_D,Ireland_UNEMP_D,Italy_UNEMP_D,Latvia_UNEMP_D,Lithuania_UNEMP_D,Luxembourg_UNEMP_D,Malta_UNEMP_D,Netherlands_UNEMP_D,Poland_UNEMP_D,Portugal_UNEMP_D,Romania_UNEMP_D,Slovakia_UNEMP_D,Slovenia_UNEMP_D,Spain_UNEMP_D,Sweden_UNEMP_D,FCI_house_BE_D,FCI_corpo_BE_D,FCI_gov_BE_D,FCI_total_BE_D,FCI_house_FR_D,FCI_corpo_FR_D,FCI_gov_FR_D,FCI_total_FR_D,FCI_house_GE_D,FCI_corpo_GE_D,FCI_gov_GE_D,FCI_total_GE_D,FCI_house_IT_D,FCI_corpo_IT_D,FCI_gov_IT_D,FCI_total_IT_D,FCI_house_LU_D,FCI_corpo_LU_D,FCI_gov_LU_D,FCI_total_LU_D,FCI_house_NT_D,FCI_corpo_NT_D,FCI_gov_NT_D,FCI_total_NT_D,FCI_house_SP_D,FCI_corpo_SP_D,FCI_gov_SP_D,FCI_total_SP_D,FCI_house_EU_D,FCI_corpo_EU_D,FCI_gov_EU_D,FCI_total_EU_D,GDPGROWTH,Infla,EPU_world_LD,FCI_house_D,FCI_corpo_D,FCI_total_D
2010.25,0.0545024091386495,0.0498714215483211,0.159531686569498,0.109276174976372,0.0520227593122637,0.0855139410092516,0.0420564602994933,0.0975241261183726,0.0633457579493104,0.0237856274852106,0.0209884785743633,0.0142094970077693,0.104946023618206,-0.00131745034483011,0.0499674102187218,0.12195433422778,0.101790793213755,0.0219802766296411,0.0449749528406045,0.0456937305138201,0.0168276174634983,0.0235339195754332,0.195763119481621,0.0829595109092836,0.0804374897170135,0.0488792707236172,0.0858000616245178,0.0560150204972616,0.0511359342558115,0.172961428755716,0.115470372809298,0.05339971689364,0.089276746855421,0.0429533625476579,0.102438038793104,0.0653951443957483,0.0240707617335438,0.0212102857713825,0.0143109317866601,0.11065065983371,-0.00131658288810887,0.0512368362391964,0.129702511864799,0.107151823822675,0.022223622576512,0.0460016602102933,0.0467537731184,0.016969999346333,0.0238130274608819,0.216238767938774,0.0864978163489916,0.083761098311844,0.0500935660505069,0.0895884559795015,0.00850468997544152,0.0107960491515726,0.00944669399724063,0.00944056255461057,0.0135464362861963,0.00613065997608775,0.00640414177309712,0.0148136467550195,0.00791157451041435,0.00713785478565754,0.00450273802697243,0.0262051226295839,0.0155403425896452,0.00338860589916123,0.0153901767074789,0.00586766092701119,0.00789960250095145,0.011185968811068,0.0218869437099549,0.0120906747639369,0.0100363726274049,0.0101401859292753,0.00866557904183818,0.00615908280788435,0.014667026558933,0.0151755354999548,0.0048304826693828,-0.100000000000001,-0.199999999999999,0.6,1.7,-0.2,-0.5,-0.0999999999999996,-0.800000000000001,-0.300000000000001,-0.0999999999999996,-0.5,1,0.0999999999999996,0.200000000000001,0.199999999999999,-1,0.299999999999997,-0.8,-0.5,0,-0.4,0.5,-0.199999999999999,-0.0999999999999996,0.3,0.599999999999998,-0.4,-0.326499939,-0.092800021,0.423399985,-0.1056,-0.462199986,-0.150100023,0.643099963,-0.162800014,-0.38319996,-0.083999991,0.373000025,-0.116400003,-0.30640006,-0.00879996999999988,0.374700008,-0.0420000550000001,-0.484499932,-0.101800084,-0.287599921,-0.106299997,-0.0620000359999997,-0.0536999699999998,0.252899997,-0.062300086,-0.45450002,0.539800018,0.117099998,0.462100029,-0.140799999,0.385600031,0.39019999,0.350000024,5.44,2.08,0.146988277474898,-0.140799999,0.385600031,0.350000024
2010.5,0.0151587550671888,-0.0516290298081028,0.0997726766936662,0.135139302384717,0.0147189999211044,0.0119775631229082,0.00160467607006254,-0.0182173489896265,-0.0249568364945194,-0.0157654654604418,0.02442007407417,-0.0163715895821568,0.0317010780766243,-0.00609599143661477,-0.00128214981713803,0.0141925723331422,0.0650729038168585,-0.0451314999987975,0.0569416204340287,-0.0322546600036659,0.00758588683910055,0.00865186743538615,0.115271294795177,0.06279091457011,-0.0102964872277909,-0.0277976593905152,-0.084409995462984,0.0152742317512073,-0.0503188951143368,0.104919715521666,0.144696232160242,0.0148278578379131,0.0120495813792667,0.00160596425165282,-0.0180524161524834,-0.0246479892683774,-0.015641841028047,0.0247206860845228,-0.0162383034692106,0.0322089093118638,-0.0060774485789844,-0.00128132821423821,0.014293765049439,0.0672368271862902,-0.0441282235693004,0.0585940083327823,-0.0317400264085528,0.00761473257269096,0.00868940301330134,0.12217783728556,0.0648041809148978,-0.0102436598707111,-0.0274148596369883,-0.0809456292824726,-0.00158569974231693,-0.000253016223270564,0.00625770587760677,0.00587431480871814,0.000488420731000083,0.000894336324581246,0.00410455149649813,0.00891675647236667,0.00106296531250916,-0.000273926482332598,0.00322162917960522,0.00108748032038619,0.000410457165706646,0.0015440206830668,0.00284807519505392,0.00278848112051922,0.00511863354718134,0.00821202626678996,0.00951600700956501,-0.00665397200591844,0.00208038784257791,0.0051905931514078,0.023351992980313,0.00225528068181635,0.000609936156050317,-0.000308940040198102,-0.00100975341966159,-0.2,0.199999999999999,0.300000000000001,0.300000000000001,-0.6,-0.2,-0.100000000000001,-2,-0.199999999999999,-0.100000000000001,-0.3,0.800000000000001,-0.0999999999999996,0.299999999999999,-0.199999999999999,-0.600000000000001,0.200000000000003,-0.5,0,-0.0999999999999996,-0.199999999999999,0.300000000000001,0,-0.199999999999999,0.0999999999999996,0.100000000000001,0,-0.572600007,-0.158300012,0.271000028,-0.18779999,0.012000025,0.043600023,0.49939999,0.042400003,-0.079700023,0.320399999,0.16489999,0.294500023,0.0269000529999999,0.299099982,0.254899979,0.279900014,-0.11130011,0.123000145,0.0123000150000001,0.122300029,0.26910007,0.32219994,0.244699992,0.317100049,0.130800009,0.582599968,-0.282100012,0.56400001,-0.0580999849999999,0.276600003,0.179499983,0.256599963,4.09,0.34,0.0284579928577804,-0.0580999849999999,0.276600003,0.256599963
2010.75,0.0445270435184764,0.107210341874815,0.0195054946242568,-0.134870059266911,-0.00308681034868386,0.022703847441413,0.0225361228380887,0.051974307973504,0.0821882984046205,0.0479958306498691,0.0192018712742517,0.000317888570506852,0.0436081996288156,0.0268638340352503,0.0271342709915317,0.0750491826342188,-0.0339601690591032,0.039464594925569,-0.0684486149413237,0.0331649793119464,0.151368498619025,-0.00915379001112626,0.139626026506729,-0.0293789766815458,-0.0116989951297679,0.0528712186399254,0.141262512816182,0.0455332512259301,0.113168375778852,0.0196969696969698,-0.126170549649401,-0.00308205104789738,0.0229635414124654,0.0227919796462321,0.0533486795035307,0.0856602186711524,0.0491662809737794,0.019387412883757,0.000317939102433495,0.0445730106097746,0.0272279197593417,0.0275057577185016,0.0779371653702394,-0.0333899951432735,0.0402536679744183,-0.0661585556319111,0.0337210677645827,0.163425299716329,-0.00911202161886504,0.14984370737287,-0.0289516099712787,-0.0116308279742766,0.0542938629788456,0.15172695138923,0.00859369477545524,0.00875667791129153,0.00806621467071444,-0.00604234745514898,0.00524369521597645,-0.00129167090739379,0.00335623539588958,0.00934897211051755,0.010908738595317,0.00344691379736872,0.00359789702713353,0.0112265920909795,0.00304294903694657,-0.000299929952817912,0.00642161042093914,0.00126683747330514,0.00706124226193072,0.00883406532820708,0.00111600227580055,0.00286878517090727,0.00553497033467743,0.00364955902966369,0.011648399480495,0.00182318285334393,0.00277633388837817,0.00997604317263079,0.0091760435567938,-0.199999999999999,-0.699999999999999,1.1,-0.100000000000001,-0.2,-0.0999999999999996,0.2,-2.1,0,0,0,1.1,-0.100000000000001,0.800000000000001,0,-1.1,-0.600000000000001,0.8,0.5,0,0,0,-0.199999999999999,-0.5,0.4,0.199999999999999,-0.399999999999999,-0.583400011,0.022900045,0.212000012,-0.015900016,0.299399972,0.116699993,0.317400009,0.124600023,0.01790002,0.179099992,0.040300005,0.166899994,0.318799972,0.235900015,0.043799996,0.24790001,0.169200062,0.438799977,0.421699881,0.433200002,0.494500041,0.654000044,0.208700031,0.639699995,0.405100048,0.301299989,-0.434899986,0.359600068,0.155300021,0.173200011,0.149700016,0.180300027,3.84,4.04,-0.038398954407608,0.155300021,0.173200011,0.180300027
2011,-0.0615054111809101,-0.0773109611487595,-0.272793620241828,-0.114154041350782,-0.0466192564427939,-0.0870193288648817,-0.0375674320130113,-0.0374291584713138,-0.0823639433746379,-0.0217022130942208,-0.00933658177295982,-0.102242238859461,-0.149837271684556,-0.0155687497336725,-0.0509524978909273,-0.20533875440807,-0.071353129538517,-0.00595902999219433,-0.02602478131005,-0.014049199458837,-0.139573357341085,-0.0173145551162328,-0.417924307833228,-0.09331661117481,-0.0357173894334988,-0.0691041982884499,-0.0678377976060478,-0.059652142666713,-0.0743980174053368,-0.23875012201603,-0.107879478152827,-0.0455492706162548,-0.083340622523332,-0.0368705302278751,-0.0367373456972416,-0.0790632711232225,-0.021468414438054,-0.00929313122503672,-0.0971891706871821,-0.139151950619241,-0.0154481832502646,-0.0496761881543701,-0.185628602221077,-0.0688669765104887,-0.00594131018805544,-0.0256890553920256,-0.0139509700092284,-0.130270780158827,-0.0171655196076453,-0.341587936825556,-0.0890949480830672,-0.0350870504511375,-0.0667705658979058,-0.0655879748467152,0.0146304805754465,0.00622849656847535,0.014922257219375,0.00746753493210584,0.00333121781588464,0.0110066241940974,0.0120268104225882,0.011468542114879,0.0181649512868205,0.00357713649283564,0.00846789725853991,0.0011099234615628,0.0170466071458986,0.00516711564455985,0.000656688051490662,0.012496439311751,0.0118439509983199,0.0304372264129968,0.0022429514119473,0.0100664260426919,0.0178475160346991,0.0121307676696478,0.0107305578066654,0.0215023352669785,0.00323149560779434,0.00635393141233198,0.001160595457395,0.3,-0.800000000000001,-0.199999999999999,0.9,1.1,-0.0999999999999996,0.3,0,0,0,-0.399999999999999,1.4,0,-0.0999999999999996,-0.4,-1,-0.899999999999999,0.8,-0.5,-0.0999999999999996,-0.100000000000001,0,0.199999999999999,-0.200000000000001,0.399999999999999,0.400000000000002,-0.300000000000001,-0.263399959,0.311099976,0.214699984,0.279500008,0.189500004,0.180800021,0.388799965,0.182500004,0.097799987,0.127900006,0.409499995,0.126800001,0.203800083,0.191300004,0.205300033,0.196699976,0.248700023,0.455899954,0.71179998,0.451999903,0.182299972,0.423500002,0.478399992,0.413100004,0.437599986,-0.0403000120000001,-0.130299985,0.0363998409999997,0.314799905,0.310500007,0.503899992,0.320099994,6.41,4.26,-0.137969113518398,0.314799905,0.310500007,0.320099994
2011.25,0.0394756298863079,0.0457787185156491,0.201051418451929,0.124044911187292,0.0534659408786595,0.07656117037914,0.035132469659974,0.0846402438358052,0.0405459469320153,0.015426106829203,0.00424489649552839,0.0353712739529062,0.0897774126738202,0.0427280164224229,0.0406785835252244,0.141340518073063,0.0943868965929493,0.00422162573286577,0.0252216759262343,0.0387815955191648,0.0324678365388493,0.0131127514144076,0.199678341402958,0.0768897442392014,0.0503261342708914,0.0449461903695756,0.0527957932355996,0.0402651471961393,0.0468427384104229,0.222687638912634,0.132066712317638,0.0549210614712796,0.0795682259151198,0.0357569060773479,0.088325464467472,0.041379156780615,0.0155457033935875,0.00425391883043114,0.0360042788086137,0.0939307614805116,0.0436539994963907,0.0415172909248278,0.151816795650047,0.0989848571717649,0.00423054934774703,0.0255424333974181,0.0395434179144787,0.0330006677328092,0.0131991005513745,0.221009946641543,0.0799230020962063,0.051614007823098,0.0459715750505085,0.0542143454368134,0.0130252347222681,0.0117192616046227,0.00394898363146901,0.0139837134224701,0.021132968139054,0.00469310882121121,0.0127423581458253,0.0151570596123403,0.00946122153733242,0.0122913772072932,0.00780621229906764,0.0177748659213117,0.0141131835685613,0.0089850252408441,0.0229488737264321,0.0144889389589578,0.0156440282183006,0.0130902079546384,0.022828694688104,0.0165436503541656,0.014690751966385,0.0124407662498864,0.00944360546306644,0.0101385860686944,0.0173291577541574,0.016366127516223,0.00690715842033285,-0.4,-0.199999999999999,-0.100000000000001,1,0.5,0,-0.6,-1,-0.5,-0.0999999999999996,-0.4,1.2,-0.0999999999999996,-0.200000000000001,0,-0.5,-1,0.100000000000001,-0.0999999999999996,0,0.200000000000001,0.199999999999999,0.0999999999999996,-0.299999999999999,-0.199999999999999,0.199999999999999,-0.0999999999999996,0.326399922,0.723399997,-0.197399974,0.712100029,0.106099993,0.123199985,0.224100053,0.121899993,0.231599986,0.217299996,0.351600021,0.224600002,0.493599951,0.105499983,-0.0721999999999999,0.143000007,0.498599946,0.620700002,0.721500039,0.618500053,0.644799977,0.55580002,0.20750004,0.580799997,0.564700008,-0.305499971,-0.091700018,-0.209399939,0.524800062,0.417799998,0.375999987,0.440300003,0.95,2.24,-0.0283040057980308,0.524800062,0.417799998,0.440300003
2011.5,0.00138248119627349,-0.0537894890029893,0.0762871230976501,0.13270318426356,-0.0123579850418398,-0.00054655936888004,-0.0219561480235306,-0.011816348648944,-0.0183927396221542,-0.0204577327276336,0.0191484996573248,0.000553141925491829,0.0293055358516838,-0.0295275881498416,-0.0096295705636944,0.0314223762192878,0.0822780726291388,-0.0200417566181468,0.0393855053095473,-0.0379172094797209,0.0177685565138148,-0.00192222408205467,0.161955005116985,0.0680845118723426,-0.00495917551720382,-0.0290206219820703,-0.0899661085633827,0.00138343726393431,-0.052368427626719,0.079272413712741,0.141911010867336,-0.0122819387267723,-0.000546410032516764,-0.021716866240431,-0.0117468097692893,-0.018224625457932,-0.0202498930360209,0.0193330079811096,0.000553294936697757,0.0297391686497455,-0.0290959081758572,-0.00958335471430083,0.0319212708562293,0.085757687350396,-0.0198422556204199,0.0401713979646492,-0.0372073523041065,0.017927356468433,-0.00192037779252829,0.17580733481727,0.0704557708776048,-0.00494689910830581,-0.0286035678597546,-0.0860378397630436,-0.00125339288017656,0.00213761205675045,0.00290147188956968,0.00229593616678603,-0.00243423519074781,0.000961443674454721,0.000605120045802821,0.0117254331607599,0.000678922265044513,0.00247292027075829,0.00349411645384468,-0.00726930414194893,-0.00501787622141237,-0.00178977848881434,0.00421115998563604,0.00269025521342758,0.00443794987333757,0.000993532145713516,0.00734269812459409,0.00246036867166133,0.00101102195270464,0.00197139641774058,0.00186114608870547,0.000995655851936839,-0.00449896836750696,-0.0035743885105326,-0.00032505924284898,-0.5,0.8,-0.0999999999999996,-0.0999999999999996,0.6,-0.300000000000001,0.0999999999999996,-1.6,-0.100000000000001,0.0999999999999996,-0.0999999999999996,1.7,0.0999999999999996,0.5,0.5,-1.1,-0.299999999999999,-1.2,-0.6,0.0999999999999996,0.0999999999999996,0.5,0,0,0.199999999999999,0.899999999999999,-0.100000000000001,-0.176599979,0.300300032,-0.457599998,0.275099993,0.378000011,0.632500007,-0.13590002,0.623899996,0.264299989,0.650800035,-0.072300017,0.636599987,0.522799983,0.674199999,0.203999937,0.676800013,0.365400017,0.449200015,0.512900009,0.450100001,0.708699987,0.486100018,-0.176300048,0.502900004,0.567800015,0.469000042,-0.217899978,0.484200001,0.282399982,0.612700016,-0.031599999,0.595599979,0.65,1.38,0.555807906271443,0.282399982,0.612700016,0.595599979
2011.75,0.036415556914541,0.101001286168245,-0.00729269793629683,-0.14778455677374,-0.00413037795162552,0.0136650436655277,0.0341399178841062,0.00930608770222463,0.0554190221641218,0.0456108047865946,0.0072195893805862,-0.0533806959644174,0.0529166910674714,0.0207303253157036,0.00439343833349604,0.0600976711254013,-0.0477138791975076,0.0164955433021774,-0.0387162060408706,0.0193579784825388,0.14115139620618,-0.0202412496067055,0.0712292103426346,-0.0414327910655832,-0.00879848922283344,0.0382678231018421,0.0992389785781409,0.0370867255171108,0.106278064622225,-0.00726617073881741,-0.137383060099478,-0.00412185967255385,0.0137588371183088,0.0347293737447301,0.00934952397240751,0.0569834213767686,0.046666973899534,0.00724571344649916,-0.0519809632458276,0.0543418053701634,0.0209466910337186,0.00440310363314,0.0619402623807912,-0.0465934625005301,0.0166323459527957,-0.0379763130792997,0.019546559028552,0.15159898250461,-0.0200377707155114,0.0738273299927119,-0.0405861856452072,-0.00875989578744674,0.0390094663562799,0.104330179282869,0.00851100340555178,0.00818790323640339,0.00809304866793426,-0.00309340431270844,0.0135330777810854,0.00671503232636717,0.00356100116196245,0.00776344984852617,0.00593664729540322,0.00741375882694761,0.00382654699156504,0.0145637293455998,0.00805638610398329,0.00292352907820259,0.0112146272084352,-0.000176313234107717,0.00212287926868626,0.0100549486135249,0.000429918472910629,-0.00197578530126741,0.0107484502504063,0.00803184215428487,0.00977915255943884,0.00691434699399096,0.00927557935064005,0.00894501713875417,0.00309930091754129,0.9,-0.5,0.5,-0.300000000000001,1.4,-0.0999999999999996,0.300000000000001,0.300000000000001,0,0.200000000000001,-0.2,2.2,-0.0999999999999996,0.0999999999999996,0.800000000000001,-0.199999999999999,-1.2,0.5,0.6,0.3,0.199999999999999,1,0.0999999999999996,0.5,0.5,0.900000000000002,0.100000000000001,-1.00799996,-0.37470004,-0.549100041,-0.419700027,0.912400017,0.652899981,-0.452900008,0.665899992,0.19660002,0.288500011,-0.430199995,0.285300017,0.747000024,0.758099973,-0.110799968,0.773899972,0.235500004,0.358099986,0.041400001,0.357600008,0.452599987,0.084999979,-0.628199995,0.130500019,0.386899948,0.461599946,-0.430400014,0.477900028,0.115500003,0.240900039,-0.303799987,0.234699965,-1.25,3.15,-0.0271766831702305,0.115500003,0.240900039,0.234699965
2012,-0.0550614187228984,-0.0867696036760997,-0.265752344076386,-0.139400850207924,-0.0551854316334541,-0.0783482923002357,-0.0457340184361108,-0.0587078635301612,-0.0857802166887627,-0.027928976140144,-0.0130971375216546,-0.0745401600897537,-0.174580616573033,-0.0366781451647462,-0.05762001095224,-0.14056001791546,-0.0873833616940267,0.000270037287558367,-0.0084660856401575,-0.0290197486930861,-0.161442726663644,-0.0211778595263006,-0.389842475410672,-0.0702143657861853,-0.0455645481401064,-0.0733835968076555,-0.0607403982268764,-0.0535729821703889,-0.0831116810022015,-0.233371035802845,-0.130120732722731,-0.0536903440621532,-0.0753576753481584,-0.0447039804688144,-0.0570177915842982,-0.0822040747176567,-0.0275425679710536,-0.0130117432294903,-0.0718298020879741,-0.160190851035427,-0.0360136509079477,-0.0559914077820278,-0.131128484489321,-0.0836742558994427,0.000270073750908928,-0.00843034925732633,-0.0286027195495802,-0.149084735174027,-0.0209551833643301,-0.322836463995044,-0.0678060320068189,-0.0445420724507029,-0.0707556934999835,-0.0589324891375178,0.0072749863820345,0.00777830051768458,0.00848374833058507,0.00291910503418702,-0.00250427988086877,0.027402776594573,0.0123391901372552,0.0137264888139548,0.0164925615241733,0.00470801726227155,0.00769492255940207,-0.00636276759362087,0.0330495519816418,0.00464794689924819,2.54152211756065e-05,0.0107832625279602,0.0115911641730122,0.00694623430956831,-0.00180896485838389,0.0123507851167091,0.0137134687338607,0.00802231260377173,0.0100908909224984,0.0176723603371567,0.00126252876602884,-0.000943943296032757,0.0039728515419748,-0.3,0.0999999999999996,0.4,1.4,1,0.3,0,-0.6,-0.0999999999999996,0.0999999999999996,0,1.5,0.300000000000001,0.200000000000001,0.9,0.5,-0.199999999999999,1.3,-0.2,0.2,0,0.800000000000001,-0.299999999999999,0,-0.4,1,0,-0.417100009,-0.489599988,-0.549000006,-0.496399991,0.88259995,0.183300018,-0.649299994,0.212599993,0.190099955,-0.048799992,-0.549099997,-0.0312999489999999,1.068799973,0.567399978,-0.741899983,0.625599981,0.056899998,0.128500014,-0.312999994,0.125200003,-0.070199966,-0.175599992,-0.464700013,-0.154300034,0.357800007,0.419999957,-0.638700008,0.462300062,-0.017399996,-0.330800056,-0.497199982,-0.314199925,1.79,3.93,-0.219918914681667,-0.017399996,-0.330800056,-0.314199925
2012.25,0.0158048203554024,0.0420730170108765,0.187298040843483,0.117471900609297,0.0345333870807849,0.0522843118731871,0.0265571610045772,0.0903674234467289,0.0293249475824187,0.00179293717097728,-0.00915216280358244,0.0357920459819052,0.0812918783240946,0.00489067812206478,0.0303311212123116,0.115892477378752,0.0786593034447698,0.0099507421262448,0.0613705529555562,0.0445919016128631,0.0186859823822552,0.0023624617574729,0.178179142022199,0.0698498836402308,0.0302234290499523,0.0327851597358375,0.0464813521814627,0.0159303771239123,0.0429706305684163,0.205986664775145,0.124650027519204,0.0351365879880761,0.0536752723218115,0.0269129449596026,0.0945763828576562,0.0297591578632277,0.00179454544385949,-0.00911040923716011,0.0364402921557372,0.0846874471216217,0.00490265700864279,0.0307957958044323,0.122875131164743,0.0818356815865673,0.0100004153858935,0.0632928475033738,0.0456010647193266,0.0188616578680558,0.00236525456912151,0.195039383832251,0.0723471923140633,0.0306847931533976,0.0333285148211766,0.0475785438318008,0.00747140845999184,0.00724856380160599,0.00470026703210813,0.023256630062356,0.0208208959583835,0.00517440985285234,0.00510906986747894,0.0136387499091413,0.00544262554507302,0.00832348085334722,0.00527274031312164,0.0131652252885299,0.0134622121789318,0.00845114251675572,0.0195798483749261,0.00897754743923418,0.0137659114887514,0.00986028438301556,0.0292478812215133,0.0131638671579664,0.0128708587356856,0.00903060057173732,0.00760907074665251,0.00830455202664648,0.0152114118194486,0.0169422661652989,0.00879932540420469,0.3,0,0.199999999999999,0.200000000000001,1.1,0.100000000000001,0.299999999999999,-1,0.0999999999999996,0.199999999999999,-0.100000000000001,1.9,-0.200000000000001,-0.200000000000001,0.6,-0.0999999999999996,-0.6,-1.9,-0.2,0.2,0.100000000000001,0.700000000000001,-0.200000000000001,0,0.100000000000001,0.899999999999999,0,0.269400008,-0.341700002,-0.415999998,-0.3112,0.289800047,-0.184000015,-0.463300019,-0.164499998,-0.198399902,-0.369600058,-0.210100025,-0.369700074,0.288400054,-0.0913999080000001,-0.468700006,-0.064099908,-0.164999999,-0.02850002,-0.41200003,-0.031300008,-0.045100034,-0.296000004,-0.327499986,-0.276199996,0.100700021,0.450299978,-0.467999935,0.469899893,0.070399999,-0.299600005,-0.329000011,-0.276600003,-0.09,1.03,0.0827855958930739,0.070399999,-0.299600005,-0.276600003
2012.5,0.00300965032661793,-0.0545349862149891,0.0898628540682243,0.138351081849626,-0.00111004841289386,-0.00480879999732586,-0.00765403395910624,-0.0109768774356063,-0.0253914141605325,-0.0167819830784417,0.0148165742141853,0.0171100513690021,0.029388193242049,-0.0224237222832748,-0.00938101230052091,0.0280806684519259,0.111733894333364,-0.0208620105643149,0.0448600294285457,-0.0457464783545323,0.0125787975256753,0.00740522062637261,0.147704778651631,0.0612103448704815,-0.00550780369673554,-0.0256707676177612,-0.0973481866979231,0.00301418387114949,-0.0530746210566037,0.0940242324432419,0.148378654410826,-0.00110943253705975,-0.00479725622992111,-0.00762481643268453,-0.0109168513502421,-0.0250717633806911,-0.0166419500387318,0.014926883779856,0.0172572667201405,0.0298242877199948,-0.0221741793302727,-0.00933714787602613,0.0284786468554341,0.118215257633302,-0.0206459042350836,0.0458814570376951,-0.0447158833051328,0.0126582433608253,0.00743270707849208,0.159170633926334,0.0631225130372457,-0.00549266355501699,-0.0253440749167844,-0.0927599377887562,0.00278210050400229,0.00142864272303278,0.00946175383709758,0.00468661500931589,-0.00415817411814956,-0.000487953338575764,0.00329609941452791,0.008032653370873,0.00293272446636195,-6.55473592194866e-05,0.00344028648961192,-0.0102029429547805,0.000809592269939152,0.00251937319475548,0.000122822897546726,-0.000913619462050264,0.00514267806227764,0.000755154549369586,0.00469676122845453,0.00227890252197227,-7.82143823299109e-05,0.000951650734660525,0.0121965058871343,0.00300513074778142,-0.00193444068966198,0.00529100529936954,-0.00220274344076099,0.2,0.4,0.200000000000001,0.800000000000001,0.800000000000001,0.0999999999999996,-0.399999999999999,0,0.2,0,-0.0999999999999996,1.6,-0.199999999999999,-0.0999999999999996,-0.0999999999999996,-1.8,-0.200000000000001,1.4,0.2,0.2,0.199999999999999,1.1,0.100000000000001,0.0999999999999996,1.2,0.699999999999999,0.299999999999999,0.067999998,-0.172299982,-0.0176,-0.157099992,-0.49300003,-0.451299965,0.00770002599999997,-0.454100013,-0.326700032,-0.510199993,0.0626000170000001,-0.513599992,-0.325200081,-0.427000045,-0.250699967,-0.426699996,-0.044099994,-0.54789998,0.257900029,-0.531100003,-0.121199965,-0.339300012,-0.106400013,-0.335799985,-0.108399987,0.0834000110000002,-0.266000033,0.112400055,-0.024900004,-0.512499988,-0.269899994,-0.489200018,2.46,2.34,-0.0916399031272945,-0.024900004,-0.512499988,-0.489200018
