Date,Austria_GDP_LD,Belgium_GDP_LD,Bulgaria_GDP_DD,Croatia_GDP_DD,Cyprus_GDP_DD,Czechia_GDP_DD,Denmark_GDP_LD,Estonia_GDP_LD,Finland_GDP_LD,France_GDP_LD,Germany_GDP_LD,Greece_GDP_DD,Hungary_GDP_LD,Ireland_GDP_DD,Italy_GDP_LD,Latvia_GDP_LD,Lithuania_GDP_LD,Luxembourg_GDP_LD,Malta_GDP_LD,Netherlands_GDP_DD,Poland_GDP_LD,Portugal_GDP_LD,Romania_GDP_LD,Slovakia_GDP_LD,Slovenia_GDP_LD,Spain_GDP_LD,Sweden_GDP_LD,Austria_GDPGROWTH,Belgium_GDPGROWTH,Bulgaria_GDPGROWTH_D,Croatia_GDPGROWTH_D,Cyprus_GDPGROWTH_D,Czechia_GDPGROWTH,Denmark_GDPGROWTH,Estonia_GDPGROWTH,Finland_GDPGROWTH,France_GDPGROWTH,Germany_GDPGROWTH,Greece_GDPGROWTH_D,Hungary_GDPGROWTH,Ireland_GDPGROWTH_D,Italy_GDPGROWTH,Latvia_GDPGROWTH,Lithuania_GDPGROWTH,Luxembourg_GDPGROWTH,Malta_GDPGROWTH,Netherlands_GDPGROWTH_D,Poland_GDPGROWTH,Portugal_GDPGROWTH,Romania_GDPGROWTH,Slovakia_GDPGROWTH,Slovenia_GDPGROWTH,Spain_GDPGROWTH,Sweden_GDPGROWTH,Austria_HCPI_FAIL,Belgium_HCPI_DD,Bulgaria_HCPI_FAIL,Croatia_HCPI_DD,Cyprus_HCPI_DD,Czechia_HCPI_DD,Denmark_HCPI_DD,Estonia_HCPI_DD,Finland_HCPI_DD,France_HCPI_FAIL,Germany_HCPI_DD,Greece_HCPI_DD,Hungary_HCPI_DD,Ireland_HCPI_DD,Italy_HCPI_DD,Latvia_HCPI_DD,Lithuania_HCPI_FAIL,Luxembourg_HCPI_DD,Malta_HCPI_DD,Netherlands_HCPI_DD,Poland_HCPI_FAIL,Portugal_HCPI_DD,Romania_HCPI_DD,Slovakia_HCPI_FAIL,Slovenia_HCPI_FAIL,Spain_HCPI_DD,Sweden_HCPI_DD,Austria_UNEMP_D,Belgium_UNEMP_D,Bulgaria_UNEMP_DD,Croatia_UNEMP_DD,Cyprus_UNEMP,Czechia_UNEMP_DD,Denmark_UNEMP_D,Estonia_UNEMP_D,Finland_UNEMP_DD,France_UNEMP_DD,Germany_UNEMP_DD,Greece_UNEMP,Hungary_UNEMP_DD,Ireland_UNEMP_DD,Italy_UNEMP_D,Latvia_UNEMP_D,Lithuania_UNEMP_D,Luxembourg_UNEMP_D,Malta_UNEMP_D,Netherlands_UNEMP_DD,Poland_UNEMP_DD,Portugal_UNEMP_DD,Romania_UNEMP_DD,Slovakia_UNEMP_DD,Slovenia_UNEMP_DD,Spain_UNEMP,Sweden_UNEMP_DD,FCI_house_BE_D,FCI_corpo_BE_D,FCI_gov_BE_D,FCI_total_BE_D,FCI_house_FR_DD,FCI_corpo_FR_D,FCI_gov_FR,FCI_total_FR_D,FCI_house_GE_D,FCI_corpo_GE_DD,FCI_gov_GE,FCI_total_GE_DD,FCI_house_IT_D,FCI_corpo_IT,FCI_gov_IT_D,FCI_total_IT,FCI_house_LU_D,FCI_corpo_LU_D,FCI_gov_LU_DD,FCI_total_LU_D,FCI_house_NT_D,FCI_corpo_NT_D,FCI_gov_NT_DD,FCI_total_NT_D,FCI_house_SP_D,FCI_corpo_SP_D,FCI_gov_SP_DD,FCI_total_SP_D,FCI_house_EU_D,FCI_corpo_EU,FCI_gov_EU,FCI_total_EU,GDPGROWTH,Infla_DD,EPU_world_LD,FCI_house_D,FCI_corpo,FCI_total
2010.5,0.0151587550671888,-0.0516290298081028,-348.099999999999,397.6,-154.8,-2547.6,0.00160467607006254,-0.0182173489896265,-0.0249568364945194,-0.0157654654604418,0.02442007407417,-1513.60000000001,0.0317010780766243,-180.5,-0.00128214981713803,0.0141925723331422,0.0650729038168585,-0.0451314999987975,0.0569416204340287,-11208.3,0.00758588683910055,0.00865186743538615,0.115271294795177,0.06279091457011,-0.0102964872277909,-0.0277976593905152,-0.084409995462984,0.0152742317512073,-0.0503188951143368,-0.06804171323405,0.029225859350944,-0.0385718590557269,0.0120495813792667,0.00160596425165282,-0.0180524161524834,-0.0246479892683774,-0.015641841028047,0.0247206860845228,-0.0305492352558707,0.0322089093118638,-0.00476086569087553,-0.00128132821423821,0.014293765049439,0.0672368271862902,-0.0441282235693004,0.0585940083327823,-0.0784937995269528,0.00761473257269096,0.00868940301330134,0.12217783728556,0.0648041809148978,-0.0102436598707111,-0.0274148596369883,-0.0809456292824726,108.811308793456,-1.21193668528902,135.361863354037,-0.408148148147987,-1.427708333334,-0.585480572596993,-0.251016260162004,-0.738824786324983,-0.752062500000008,106.738198653199,-0.136178861788011,-2.87076131687201,-1.91885350318502,-0.189024390244995,-1.36666666666699,-0.421231422505002,128.122538461539,-0.323414141414006,-1.39177927927898,-2.00818565400699,113.155487804878,-0.528109756096981,1.98388535031899,110.67819706499,115.821364902507,-1.71987261146499,-0.642117400419977,-0.2,0.199999999999999,-0.299999999999999,-1.4,6,0.3,-0.100000000000001,-2,0.100000000000001,-1.77635683940025e-15,0.2,13.3,-0.199999999999999,0.0999999999999979,-0.199999999999999,-0.600000000000001,0.200000000000003,-0.5,0,-0.0999999999999996,0.200000000000001,-0.199999999999999,0.199999999999999,-0.0999999999999996,-0.2,20,0.4,-0.572600007,-0.158300012,0.271000028,-0.18779999,0.474200011,0.043600023,-0.168300003,0.042400003,-0.079700023,0.40439999,-0.156900004,0.410900026,0.0269000529999999,-0.703000009,0.254899979,-0.814999998,-0.11130011,0.123000145,0.299899936,0.122300029,0.26910007,0.32219994,-0.00820000499999998,0.317100049,0.130800009,0.582599968,-0.39920001,0.56400001,-0.0580999849999999,-0.513400018,0.264099985,-0.614000022,4.09,-1.42,0.0284579928577804,-0.0580999849999999,-0.513400018,-0.614000022
2010.75,0.0445270435184764,0.107210341874815,-680.5,-2791.6,-77.5,407.800000000003,0.0225361228380887,0.051974307973504,0.0821882984046205,0.0479958306498691,0.0192018712742517,825.5,0.0436081996288156,1256.9,0.0271342709915317,0.0750491826342188,-0.0339601690591032,0.039464594925569,-0.0684486149413237,9445.80000000002,0.151368498619025,-0.00915379001112626,0.139626026506729,-0.0293789766815458,-0.0116989951297679,0.0528712186399254,0.141262512816182,0.0455332512259301,0.113168375778852,-0.0852227458246962,-0.270866781809643,-0.0179099088858105,0.0229635414124654,0.0227919796462321,0.0533486795035307,0.0856602186711524,0.0491662809737794,0.019387412883757,0.0165562425716441,0.0445730106097746,0.0333053683383261,0.0275057577185016,0.0779371653702394,-0.0333899951432735,0.0402536679744183,-0.0661585556319111,0.0654610941731355,0.163425299716329,-0.00911202161886504,0.14984370737287,-0.0289516099712787,-0.0116308279742766,0.0542938629788456,0.15172695138923,109.750429447853,0.997459685592005,136.458136645963,-1.39187242798401,0.525375000000992,-0.245398773006002,-0.0815040650409884,0.0668803418799939,1.09404166666701,107.106750841751,0.0418699186979978,1.18345679012302,0.337282377919024,-0.189837398372987,0.397064989518981,-0.209532908705,129.030444444445,0.0787272727269937,-0.971103603603012,1.02141350210898,113.783536585366,-0.165284552846018,-1.538768577496,110.880167714885,116.143370473538,1.156114649683,1.12580712788298,-0.199999999999999,-0.699999999999999,0.799999999999999,-0.400000000000002,5.8,0.100000000000001,0.2,-2.1,0.199999999999999,0.100000000000001,0.3,14.4,-1.77635683940025e-15,0.500000000000002,0,-1.1,-0.600000000000001,0.8,0.5,0.0999999999999996,0.199999999999999,-0.300000000000001,-0.199999999999999,-0.300000000000001,0.300000000000001,20.2,-0.399999999999999,-0.583400011,0.022900045,0.212000012,-0.015900016,0.287399947,0.116699993,0.149100006,0.124600023,0.01790002,-0.141300007,-0.116599999,-0.127600029,0.318799972,-0.467099994,0.043799996,-0.567099988,0.169200062,0.438799977,0.409399866,0.433200002,0.494500041,0.654000044,-0.035999961,0.639699995,0.405100048,0.301299989,-0.152799974,0.359600068,0.155300021,-0.340200007,0.413800001,-0.433699995,3.84,5.44,-0.038398954407608,0.155300021,-0.340200007,-0.433699995
2011,-0.0615054111809101,-0.0773109611487595,-2379.4,352.6,-185.4,-3991.1,-0.0375674320130113,-0.0374291584713138,-0.0823639433746379,-0.0217022130942208,-0.00933658177295982,-4785.8,-0.149837271684556,-1624.6,-0.0509524978909273,-0.20533875440807,-0.071353129538517,-0.00595902999219433,-0.02602478131005,-6838.10000000001,-0.139573357341085,-0.0173145551162328,-0.417924307833228,-0.09331661117481,-0.0357173894334988,-0.0691041982884499,-0.0678377976060478,-0.059652142666713,-0.0743980174053368,-0.258447091713,0.018291071496574,-0.0424672195683574,-0.083340622523332,-0.0368705302278751,-0.0367373456972416,-0.0790632711232225,-0.021468414438054,-0.00929313122503672,-0.0975071097896156,-0.139151950619241,-0.0426761030096063,-0.0496761881543701,-0.185628602221077,-0.0688669765104887,-0.00594131018805544,-0.0256890553920256,-0.0476720377738111,-0.130270780158827,-0.0171655196076453,-0.341587936825556,-0.0890949480830672,-0.0350870504511375,-0.0667705658979058,-0.0655879748467152,111.367934560327,-0.274741865905995,138.50966873706,1.57851851851801,-0.209652689873991,1.386503067484,0.974390243902988,0.291816239317001,0.835330696203002,107.490572390572,0.532113821140015,-1.17925925925901,1.81577494692198,0.564430894308984,-0.637945492663988,1.56403397027702,130.567760683761,2.52749494949501,0.131509009007999,0.778000349378019,115.832520325203,0.933841463414012,-0.10855626326898,113.290167714885,116.519294336119,-0.401358811042016,-0.88561844863699,0.3,-0.800000000000001,-1.3,1,6.9,0,0.3,0,0,0,-0.399999999999999,15.8,0.100000000000001,-0.9,-0.4,-1,-0.899999999999999,0.8,-0.5,-0.0999999999999996,-0.100000000000001,0,0.399999999999999,0.299999999999999,-8.88178419700125e-16,20.6,0.0999999999999979,-0.263399959,0.311099976,0.214699984,0.279500008,-0.109899968,0.180800021,0.537899971,0.182500004,0.097799987,-0.051199986,0.292899996,-0.040099993,0.203800083,-0.27579999,0.205300033,-0.370400012,0.248700023,0.455899954,0.290100099,0.451999903,0.182299972,0.423500002,0.269699961,0.413100004,0.437599986,-0.0403000120000001,0.304600001,0.0363998409999997,0.314799905,-0.0297,0.917699993,-0.113600001,6.41,-3.48,-0.137969113518398,0.314799905,-0.0297,-0.113600001
2011.25,0.0394756298863079,0.0457787185156491,3764.3,2179.8,427.799999999999,5895.89999999999,0.035132469659974,0.0846402438358052,0.0405459469320153,0.015426106829203,0.00424489649552839,6365.6,0.0897774126738202,2262.49999999999,0.0406785835252244,0.141340518073063,0.0943868965929493,0.00422162573286577,0.0252216759262343,7773.5,0.0324678365388493,0.0131127514144076,0.199678341402958,0.0768897442392014,0.0503261342708914,0.0449461903695756,0.0527957932355996,0.0402651471961393,0.0468427384104229,0.461437760928664,0.239946190470465,0.100470332087534,0.0795682259151198,0.0357569060773479,0.088325464467472,0.041379156780615,0.0155457033935875,0.00425391883043114,0.133193449495796,0.0939307614805116,0.0591021827466553,0.0415172909248278,0.151816795650047,0.0989848571717649,0.00423054934774703,0.0255424333974181,0.0534943879237071,0.0330006677328092,0.0131991005513745,0.221009946641543,0.0799230020962063,0.051614007823098,0.0459715750505085,0.0542143454368134,112.828016359918,0.624314387509983,139.057722567288,0.779238683127986,2.003545094937,-0.707975460121986,0.0979674796750061,0.512393162392982,-0.965861814347008,108.819932659933,-0.0650406504080081,1.975720164609,-0.350870488321988,0.400813008130015,2.506918238995,0.304692144372979,132.626427350427,-1.98012121212099,2.43186936936901,0.722237227551986,117.54674796748,0.0508943089439953,-0.164055201698005,114.444612159329,118.556072423398,1.15605095541501,0.641802935010006,-0.4,-0.199999999999999,0.0999999999999979,0.0999999999999996,7.4,0.0999999999999996,-0.6,-1,-0.5,-0.0999999999999996,-8.88178419700125e-16,17,-0.0999999999999996,-0.100000000000001,0,-0.5,-1,0.100000000000001,-0.0999999999999996,0.0999999999999996,0.300000000000003,0.199999999999999,-0.0999999999999996,-0.0999999999999979,-0.599999999999999,20.8,0.200000000000001,0.326399922,0.723399997,-0.197399974,0.712100029,-0.083400011,0.123199985,0.762000024,0.121899993,0.231599986,0.08939999,0.644500017,0.097800001,0.493599951,-0.170300007,-0.0721999999999999,-0.227400005,0.498599946,0.620700002,0.00970005899999982,0.618500053,0.644799977,0.55580002,-0.270899952,0.580799997,0.564700008,-0.305499971,0.0385999669999999,-0.209399939,0.524800062,0.388099998,1.29369998,0.326700002,0.95,-2.24,-0.0283040057980308,0.524800062,0.388099998,0.326700002
2011.5,0.00138248119627349,-0.0537894890029893,-882.699999999998,246.300000000001,-282.9,-2772.1,-0.0219561480235306,-0.011816348648944,-0.0183927396221542,-0.0204577327276336,0.0191484996573248,-1570.00000000001,0.0293055358516838,-2821.99999999999,-0.0096295705636944,0.0314223762192878,0.0822780726291388,-0.0200417566181468,0.0393855053095473,-11325,0.0177685565138148,-0.00192222408205467,0.161955005116985,0.0680845118723426,-0.00495917551720382,-0.0290206219820703,-0.0899661085633827,0.00138343726393431,-0.052368427626719,-0.143415225199893,0.00984429854969801,-0.0672030001980519,-0.000546410032516764,-0.021716866240431,-0.0117468097692893,-0.018224625457932,-0.0202498930360209,0.0193330079811096,-0.0354509838719159,0.0297391686497455,-0.0727499076722479,-0.00958335471430083,0.0319212708562293,0.085757687350396,-0.0198422556204199,0.0401713979646492,-0.0767507702185852,0.017927356468433,-0.00192037779252829,0.17580733481727,0.0704557708776048,-0.00494689910830581,-0.0286035678597546,-0.0860378397630436,112.686687116564,-1.07685236768698,139.461780538302,-1.37858024691299,-2.648966244726,-0.423926380368016,-1.376422764228,-0.436709401709976,-1.002890295358,109.089368686869,-0.470731707316006,-2.971790123457,-2.51709129511801,-1.12113821138202,-2.100000000001,-1.661061571125,133.216324786325,-1.43410101010102,-1.81378378378301,-1.53615711252598,117.665650406504,-1.161483739838,-1.05337579617901,114.558616352201,118.023890436397,-2.28864118896,-0.807190775681008,-0.5,0.8,1.77635683940025e-15,-1.1,8,-0.300000000000001,0.0999999999999996,-1.6,0.399999999999999,0.199999999999999,0.300000000000001,18.7,0.199999999999999,0.700000000000001,0.5,-1.1,-0.299999999999999,-1.2,-0.6,0.0999999999999996,-0.100000000000001,0.300000000000001,-0.0999999999999996,0.299999999999999,0.399999999999999,21.7,-8.88178419700125e-16,-0.176599979,0.300300032,-0.457599998,0.275099993,0.271900018,0.632500007,0.626100004,0.623899996,0.264299989,0.433500039,0.5722,0.411999985,0.522799983,0.503899992,0.203999937,0.449400008,0.365400017,0.449200015,-0.20860003,0.450100001,0.708699987,0.486100018,-0.383800088,0.502900004,0.567800015,0.469000042,-0.12619996,0.484200001,0.282399982,1.000800014,1.262099981,0.922299981,0.65,1.16,0.555807906271443,0.282399982,1.000800014,0.922299981
2011.75,0.036415556914541,0.101001286168245,-747.600000000002,-2914.4,36.1000000000004,533.800000000003,0.0341399178841062,0.00930608770222463,0.0554190221641218,0.0456108047865946,0.0072195893805862,-2412.99999999999,0.0529166910674714,1966.89999999999,0.00439343833349604,0.0600976711254013,-0.0477138791975076,0.0164955433021774,-0.0387162060408706,8432.30000000005,0.14115139620618,-0.0202412496067055,0.0712292103426346,-0.0414327910655832,-0.00879848922283344,0.0382678231018421,0.0992389785781409,0.0370867255171108,0.106278064622225,-0.0865385844515584,-0.279294070966814,0.00816007905421845,0.0137588371183088,0.0347293737447301,0.00934952397240751,0.0569834213767686,0.046666973899534,0.00724571344649916,-0.0525342581825254,0.0543418053701634,0.0500425992095758,0.00440310363314,0.0619402623807912,-0.0465934625005301,0.0166323459527957,-0.0379763130792997,0.0567539113326585,0.15159898250461,-0.0200377707155114,0.0738273299927119,-0.0405861856452072,-0.00875989578744674,0.0390094663562799,0.104330179282869,113.649856850716,0.690566388114988,140.595031055901,-0.641748971195,1.81835443038,0.658895705521005,0.338414634145991,-0.525512820512006,0.605949367088996,109.901136363636,0.0382113821130048,2.606748971193,1.72757961783501,0.492073170732013,0.807966457024008,-0.407876857749983,133.499427350427,1.08913131313101,-0.827702702703007,-0.489363057325008,118.937195121951,0.68264227642301,1.11575371549901,115.353459119497,119.123723305478,1.447218683651,0.383878406709002,0.9,-0.5,0.6,-0.200000000000001,9.4,0.200000000000001,0.300000000000001,0.300000000000001,0.100000000000001,0.100000000000001,-0.100000000000001,20.9,-0.199999999999999,-0.4,0.800000000000001,-0.199999999999999,-1.2,0.5,0.6,0.2,0.0999999999999996,0.5,0.0999999999999996,0.5,0.300000000000001,22.6,0.200000000000001,-1.00799996,-0.37470004,-0.549100041,-0.419700027,0.534400006,0.652899981,0.173199996,0.665899992,0.19660002,-0.362300024,0.142000005,-0.35129997,0.747000024,1.261999965,-0.110799968,1.22329998,0.235500004,0.358099986,-0.471500008,0.357600008,0.452599987,0.084999979,-0.451899947,0.130500019,0.386899948,0.461599946,-0.212500036,0.477900028,0.115500003,1.241700053,0.958299994,1.156999946,-1.25,2.63,-0.0271766831702305,0.115500003,1.241700053,1.156999946
2012,-0.0550614187228984,-0.0867696036760997,-2078.5,280,-214.300000000001,-3364,-0.0457340184361108,-0.0587078635301612,-0.0857802166887627,-0.027928976140144,-0.0130971375216546,-740.199999999997,-0.174580616573033,-2229.6,-0.05762001095224,-0.14056001791546,-0.0873833616940267,0.000270037287558367,-0.0084660856401575,-7058.10000000004,-0.161442726663644,-0.0211778595263006,-0.389842475410672,-0.0702143657861853,-0.0455645481401064,-0.0733835968076555,-0.0607403982268764,-0.0535729821703889,-0.0831116810022015,-0.226104865064028,0.00726232737674701,-0.0495684843895994,-0.0753576753481584,-0.0447039804688144,-0.0570177915842982,-0.0822040747176567,-0.0275425679710536,-0.0130117432294903,-0.0198488388421465,-0.160190851035427,-0.0569603419416663,-0.0559914077820278,-0.131128484489321,-0.0836742558994427,0.000270073750908928,-0.00843034925732633,-0.0481492785781322,-0.149084735174027,-0.0209551833643301,-0.322836463995044,-0.0678060320068189,-0.0445420724507029,-0.0707556934999835,-0.0589324891375178,114.479672801636,-0.0395636025999835,141.792877846791,0.715802469137003,-1.829451476793,2.421676891616,1.01585365853701,0.834551282050995,1.23748945147601,110.419772727273,0.433130081301002,-2.504670781892,3.395350318471,0.181910569105,-1.28490566037802,1.569426751592,135.055844044558,-0.366303030303001,-0.269031531530985,1.587707006369,120.579471544715,0.00619918699199218,0.0580467091289734,117.410146750524,119.274215413185,-1.144458598725,0.0995178197059943,-0.3,0.0999999999999996,-0.0999999999999996,1.7,10.4,0.399999999999999,0,-0.6,-0.0999999999999996,-0.100000000000001,0.2,22.4,0.4,0.100000000000001,0.9,0.5,-0.199999999999999,1.3,-0.2,-0.0999999999999996,-0.199999999999999,-0.199999999999999,-0.399999999999999,-0.5,-0.9,23.6,-0.100000000000001,-0.417100009,-0.489599988,-0.549000006,-0.496399991,-0.029800067,0.183300018,-0.476099998,0.212599993,0.190099955,-0.337300003,-0.407099992,-0.316599966,1.068799973,1.829399943,-0.741899983,1.848899961,0.056899998,0.128500014,-0.354399995,0.125200003,-0.070199966,-0.175599992,0.163499982,-0.154300034,0.357800007,0.419999957,-0.208299994,0.462300062,-0.017399996,0.910899997,0.461100012,0.842800021,1.79,-0.99,-0.219918914681667,-0.017399996,0.910899997,0.842800021
2012.25,0.0158048203554024,0.0420730170108765,3597.8,2292,376,4728,0.0265571610045772,0.0903674234467289,0.0293249475824187,0.00179293717097728,-0.00915216280358244,4600.59999999999,0.0812918783240946,1606.8,0.0303311212123116,0.115892477378752,0.0786593034447698,0.0099507421262448,0.0613705529555562,10770,0.0186859823822552,0.0023624617574729,0.178179142022199,0.0698498836402308,0.0302234290499523,0.0327851597358375,0.0464813521814627,0.0159303771239123,0.0429706305684163,0.43935770057799,0.254770760241935,0.0888269320502293,0.0536752723218115,0.0269129449596026,0.0945763828576562,0.0297591578632277,0.00179454544385949,-0.00911040923716011,0.108270094243711,0.0846874471216217,0.0409163079165905,0.0307957958044323,0.122875131164743,0.0818356815865673,0.0100004153858935,0.0632928475033738,0.0742037842689068,0.0188616578680558,0.00236525456912151,0.195039383832251,0.0723471923140633,0.0306847931533976,0.0333285148211766,0.0475785438318008,115.338200408998,-0.0545589600740186,142.460910973085,2.457654320988,2.69518987341701,-2.57791411043002,-0.828861788618013,0.0138247863249887,-1.280337552742,111.342685185185,-0.265853658536003,2.34934156378601,-2.600912951168,0.404471544714994,2.28050314465401,-0.245838641188016,136.927866323907,0.36311111111101,3.78006756756699,0.108917197452996,122.141463414634,0.123069105691002,-0.343121019107969,118.389245283019,121.102414113278,2.09331210190999,0.549392033543015,0.3,0,-0.200000000000001,-1.2,11.5,-0.199999999999999,0.299999999999999,-1,0.199999999999999,0.0999999999999996,-0.100000000000001,24.3,-0.500000000000002,-0.400000000000002,0.6,-0.0999999999999996,-0.6,-1.9,-0.2,0,0.100000000000001,-0.0999999999999996,0.0999999999999979,0,0.500000000000002,24.5,0,0.269400008,-0.341700002,-0.415999998,-0.3112,-0.592799903,-0.184000015,-0.939400017,-0.164499998,-0.198399902,-0.320800066,-0.617200017,-0.338400125,0.288400054,1.738000035,-0.468700006,1.784800053,-0.164999999,-0.02850002,-0.099000036,-0.031300008,-0.045100034,-0.296000004,0.137200027,-0.276199996,0.100700021,0.450299978,0.170700072999999,0.469899893,0.070399999,0.611299992,0.132100001,0.566200018,-0.09,-3.68,0.0827855958930739,0.070399999,0.611299992,0.566200018
2012.5,0.00300965032661793,-0.0545349862149891,-652.700000000001,352.899999999998,-148.5,-2054.2,-0.00765403395910624,-0.0109768774356063,-0.0253914141605325,-0.0167819830784417,0.0148165742141853,-749.899999999994,0.029388193242049,-1033.6,-0.00938101230052091,0.0280806684519259,0.111733894333364,-0.0208620105643149,0.0448600294285457,-13254.2,0.0125787975256753,0.00740522062637261,0.147704778651631,0.0612103448704815,-0.00550780369673554,-0.0256707676177612,-0.0973481866979231,0.00301418387114949,-0.0530746210566037,-0.111962432331903,0.023728626891622,-0.0362460205251359,-0.00479725622992111,-0.00762481643268453,-0.0109168513502421,-0.0250717633806911,-0.0166419500387318,0.014926883779856,-0.0191830254355967,0.0298242877199948,-0.0270768363389155,-0.00933714787602613,0.0284786468554341,0.118215257633302,-0.0206459042350836,0.0458814570376951,-0.0903169480244594,0.0126582433608253,0.00743270707849208,0.159170633926334,0.0631225130372457,-0.00549266355501699,-0.0253440749167844,-0.0927599377887562,115.659529652352,-0.672701949860993,143.815238095238,-2.23193415637901,-2.89314345991501,-0.670143149282978,-0.209349593495986,-0.772243589743994,-0.294177215191013,111.335387205387,-0.203658536586005,-2.81627572016501,-1.74696390658102,-0.624390243901004,-2.26897274633099,-1.43114649681601,137.633856041131,-1.11187878787801,-2.980833333333,-1.22067940552,122.131910569106,-0.923150406503993,0.675201698514997,118.745555555556,120.868375116063,-1.357261146496,-1.24664570230601,0.2,0.4,1.77635683940025e-15,0.6,12.3,-8.88178419700125e-16,-0.399999999999999,0,0.100000000000001,-0.199999999999999,8.88178419700125e-16,25.9,1.77635683940025e-15,0.100000000000001,-0.0999999999999996,-1.8,-0.200000000000001,1.4,0.2,0,0.0999999999999979,0.399999999999997,0.300000000000003,0.0999999999999996,1.1,25.2,0.299999999999999,0.067999998,-0.172299982,-0.0176,-0.157099992,-0.782800077,-0.451299965,-0.931699991,-0.454100013,-0.326700032,-0.140599935,-0.5546,-0.143899918,-0.325200081,1.31099999,-0.250699967,1.358100057,-0.044099994,-0.54789998,0.669900059,-0.531100003,-0.121199965,-0.339300012,0.221099973,-0.335799985,-0.108399987,0.0834000110000002,0.201999902000001,0.112400055,-0.024900004,0.098800004,-0.137799993,0.077,2.46,4.21,-0.0916399031272945,-0.024900004,0.098800004,0.077
2012.75,0.0341238550102361,0.0971960505068079,-806.199999999999,-2926.7,-149.7,840.800000000003,0.0250367247013141,0.0208868439204277,0.0537325170066172,0.0445196065453573,0.00648015822691761,-1494.5,0.0364497753925157,1536.99999999999,0.00926493990023047,0.0461007253859229,-0.0557058711637168,0.0512612732136777,-0.0428947072122909,10022.1,0.129194678708334,-0.0171738942486037,0.0787934778809021,-0.0417947542968484,-0.0148112157067661,0.0321301952787731,0.111135869197174,0.0347127531507976,0.102076415082518,-0.0947661439944822,-0.290305412051433,-0.0353770858834332,0.0181036927170808,0.0253527756074141,0.0211065006915629,0.055202315729318,0.0455254756521601,0.00650119987876341,-0.0353646295831501,0.0371222136535567,0.0406380732900257,0.00930799231252766,0.0471798832428503,-0.0541827128797604,0.0525978729882102,-0.0419877434621685,0.0678221489664958,0.137911629770101,-0.0170272635335172,0.0819808460175928,-0.0409333953272114,-0.0147020691801067,0.0326519429609433,0.117546736717646,116.815419222904,0.761030640668011,144.459730848861,-0.224547325102989,0.884810126581996,0.188548057257989,-0.422967479675009,-0.616175213675973,0.254900453854006,111.817306397307,-0.088698279984996,2.51567901234499,0.246284501061012,-0.505487804878996,0.660796645702988,-0.261740976644973,137.647112253642,1.02377777777701,-0.313648648648993,0.470382165604008,122.159756097561,0.0948780487809984,-0.0699787685790057,119.294067085954,121.486573816156,1.14237791932001,0.704192872117005,-0.100000000000001,0.600000000000001,-0.100000000000001,0.899999999999999,13.4,0.100000000000001,-0.5,-0.600000000000001,-0.3,0.5,0.0999999999999996,26.6,0.299999999999999,-0.5,0.699999999999999,0.300000000000001,0.0999999999999996,-0.5,-0.2,0.199999999999999,-0.0999999999999996,-0.599999999999998,-0.200000000000003,0.199999999999999,-1.1,25.9,-0.199999999999998,-0.084199996,-0.157000005,-0.076299995,-0.148400009,-0.0769000060000002,-0.543500022,-0.88349998,-0.54749997,-0.174000024,0.0806999939999999,-0.554400027,0.0921999960000001,-0.36379993,0.828000009,-0.115700007,0.874300003,-0.195799991,-0.1745,-0.479800045,-0.171600001,-0.148700029,-0.275099987,-0.12529996,-0.2751,0.0539000030000001,0.0603001120000002,-0.151900052000001,0.102900028,-0.033299997,-0.31099999,-0.359600008,-0.316599995,-0.99,-2.06,0.142295818230295,-0.033299997,-0.31099999,-0.316599995
